north,west,south,east,Ozone_S,SO2,time
37.7501030025,-122.3906095355,37.7483063728,-122.3883373452,52.2863892693,321.38222961,1448138971.7178
37.7518996322,-122.4905853003,37.7501030025,-122.4883130548,47.1090446472,288.923733107,1448138967.21764
37.7518996322,-122.4224179373,37.7501030025,-122.4201456919,50.5504648247,303.1638284543,1448138966.78223
37.7518996322,-122.415601201,37.7501030025,-122.4133289556,50.3176104,302.0708931263,1448138958.31165
37.7518996322,-122.4065122193,37.7501030025,-122.4042399739,52.2108404314,319.8947585689,1448138952.23949
37.7518996322,-122.3906065013,37.7501030025,-122.3883342559,55.2479037202,319.812339329,1448138947.04919
37.7518996322,-122.3883342559,37.7501030025,-122.3860620104,53.356710262,321.0454167857,1448138941.89146
37.753696262,-122.4905846934,37.7518996322,-122.4883123928,47.2810392781,286.5608157365,1448138936.94222
37.753696262,-122.4224156753,37.7518996322,-122.4201433747,50.5663976078,303.1736707806,1448138932.19546
37.753696262,-122.4155987735,37.7518996322,-122.4133264729,49.7561341369,301.1323893734,1448138931.85099
37.753696262,-122.4065095711,37.7518996322,-122.4042372705,53.9738481156,322.5345290758,1448138922.54032
37.753696262,-122.3883311662,37.7518996322,-122.3860588656,53.7097293779,321.6844334888,1448138916.88694
37.7554928917,-122.4928564422,37.753696262,-122.4905840864,47.9542277983,289.251976861,1448138913.16579
37.7554928917,-122.4905840864,37.753696262,-122.4883117306,47.9787638779,283.4314262998,1448138906.93068
37.7554928917,-122.4883117306,37.753696262,-122.4860393749,47.2532939809,290.361440749,1448138892.80893
37.7554928917,-122.422413413,37.753696262,-122.4201410572,50.1579295767,301.9489400453,1448138903.15764
37.7554928917,-122.4155963457,37.753696262,-122.4133239899,50.3512442109,304.4992906511,1448138898.1509
37.7554928917,-122.4087792783,37.753696262,-122.4065069226,45.8677599907,322.355561584,1448138888.27424
37.7554928917,-122.4065069226,37.753696262,-122.4042345668,52.9374043995,320.7677296996,1448138881.76935
37.7554928917,-122.3883280763,37.753696262,-122.3860557206,52.8706336169,321.2064018983,1448138881.70918
37.7572895214,-122.4928558904,37.7554928917,-122.4905834794,46.9045383367,272.8453795626,1448138873.12236
37.7572895214,-122.4905834794,37.7554928917,-122.4883110685,48.8274081359,286.081341133,1448138866.83235
37.7572895214,-122.4224111506,37.7554928917,-122.4201387396,50.826436428,304.8572591806,1448138861.77856
37.7572895214,-122.4155939177,37.7554928917,-122.4133215067,50.0754217206,303.186454173,1448138857.21798
37.7572895214,-122.4087766848,37.7554928917,-122.4065042738,54.4232461815,321.0263878126,1448138856.93065
37.7572895214,-122.3905973971,37.7554928917,-122.3883249861,52.8464579888,318.0226644087,1448138846.76287
37.7572895214,-122.3883249861,37.7554928917,-122.3860525752,53.8940685427,320.2519086073,1448138844.10856
37.7590861511,-122.4928553385,37.7572895214,-122.4905828724,47.6224200075,270.2931039172,1448138836.84864
37.7590861511,-122.4905828724,37.7572895214,-122.4883104062,46.382915672,291.4136026569,1448138834.46846
37.7590861511,-122.4224088879,37.7572895214,-122.4201364218,50.5386011665,303.9823375469,1448138826.93971
37.7590861511,-122.4155914895,37.7572895214,-122.4133190233,51.0921393401,305.7771999184,1448138821.91481
37.7590861511,-122.408774091,37.7572895214,-122.4065016249,53.8547831469,321.5313691865,1448138816.8642
37.7590861511,-122.3905943618,37.7572895214,-122.3883218957,52.9850649236,320.0101455041,1448138812.96757
37.7608827809,-122.4928547866,37.7590861511,-122.4905822653,44.4463375093,314.1772628626,1448138812.17775
37.7608827809,-122.4905822653,37.7590861511,-122.4883097439,43.5064506238,285.7505056384,1448138801.7899
37.7608827809,-122.4883097439,37.7590861511,-122.4860372226,46.89929414,290.4153997872,1448138796.745
37.7608827809,-122.4860372226,37.7590861511,-122.4837647012,46.9442016381,274.1417369034,1448138796.88907
37.7608827809,-122.4837647012,37.7590861511,-122.4814921799,47.124825283,281.6281431279,1448138787.97792
37.7608827809,-122.4814921799,37.7590861511,-122.4792196586,48.6942263983,279.2635403341,1448138781.74691
37.7608827809,-122.4792196586,37.7590861511,-122.4769471372,47.5205249989,292.6649180106,1448138779.08948
37.7608827809,-122.4224066251,37.7590861511,-122.4201341037,50.0892528851,301.3290132347,1448138768.30859
37.7608827809,-122.415589061,37.7590861511,-122.4133165397,51.0672519273,306.4674149247,1448138762.425
37.7608827809,-122.408771497,37.7590861511,-122.4064989757,48.8102793048,321.83076969,1448138757.49942
37.7608827809,-122.3905913263,37.7590861511,-122.388318805,52.9915117577,321.1184880425,1448138751.81845
37.7626794106,-122.4792187754,37.7608827809,-122.4769461989,47.9466501354,289.1006653618,1448138748.24662
37.7626794106,-122.422404362,37.7608827809,-122.4201317855,50.8114553677,304.2044001347,1448138741.40715
37.7626794106,-122.4155866324,37.7608827809,-122.4133140559,49.859899177,301.3203757895,1448138737.74951
37.7626794106,-122.4087689028,37.7608827809,-122.4064963262,53.4951706779,320.2833064128,1448138731.6502
37.7626794106,-122.3905882905,37.7608827809,-122.388315714,54.0840199068,319.8123393287,1448138727.08831
37.7644760403,-122.4792178922,37.7626794106,-122.4769452605,46.042988373,289.1336599078,1448138721.57504
37.7644760403,-122.4224020987,37.7626794106,-122.420129467,50.4936270725,303.9628771506,1448138711.4773
37.7644760403,-122.4155842035,37.7626794106,-122.4133115718,51.1812162097,305.9491009131,1448138706.81163
37.7644760403,-122.4087663083,37.7626794106,-122.4064936766,53.0140756773,320.4528545635,1448138706.70069
37.7644760403,-122.3905852544,37.7626794106,-122.3883126227,55.0544986948,321.7831554352,1448138701.79835
37.76627267,-122.4792170089,37.7644760403,-122.4769443219,47.2508230826,284.1843236189,1448138692.57896
